,M,b,dif,info,spread
0,0,0.0,-7.245274070845426,1,0
0,0,0.0,2.5534211349195175,1,0
0,0,0.0,31.47079575944781,1,0
0,0,0.0,16.58738889147253,1,0
0,0,0.0,17.796175254680747,1,0
0,0,0.0,11.1145486714845,1,0
0,0,0.0,24.314905510857216,1,0
0,0,0.0,37.98454235467511,1,0
0,0,0.0,16.384582482344285,1,0
0,0,0.0,25.52206323753944,1,0
0,0,0.0,41.069366130567005,1,0
0,0,0.0,-11.429978605309543,1,0
0,0,0.0,-69.39593208244196,1,0
0,0,0.0,-27.6343804608764,1,0
0,0,0.0,-25.8281354615865,1,0
0,0,0.0,-52.5161448772501,1,0
0,0,0.0,11.537546003551597,1,0
0,0,0.0,7.613221828485848,1,0
0,0,0.0,-76.24907846183146,1,0
0,0,0.0,45.476598678262235,1,0
0,0,0.0,-17.062063541725138,1,0
0,0,0.0,-32.9637451917788,1,0
0,0,0.0,-72.12330621137608,1,0
0,0,0.0,19.160022531124696,1,0
0,0,0.0,-20.495556480586174,1,0
0,0,0.0,24.14181249719377,1,0
0,0,0.0,41.59804847397049,1,0
0,0,0.0,-36.11732933050416,1,0
0,0,0.0,7.518646873198122,1,0
0,0,0.0,-34.959932958059426,1,0
0,0,0.0,-49.877977703364195,1,0
0,0,0.0,3.6620914143079517,1,0
0,0,0.0,-27.79911697643047,1,0
0,0,0.0,89.44643281324693,1,0
0,0,0.0,-8.59484885106599,1,0
0,0,0.0,26.778689037297454,1,0
0,0,0.0,23.305442979329655,1,0
0,0,0.0,-1.5406777392709046,1,0
0,0,0.0,48.80945227593065,1,0
0,0,0.0,62.94950929626498,1,0
0,0,0.0,-5.76353874370966,1,0
0,0,0.0,51.669676705603706,1,0
0,0,0.0,41.86169389915494,1,0
0,0,0.0,-25.823651862987617,1,0
0,0,0.0,26.01850193288874,1,0
0,0,0.0,19.02492044283258,1,0
0,0,0.0,-12.85645758059195,1,0
0,0,0.0,3.2593422583827305,1,0
0,0,0.0,34.74608492058928,1,0
0,0,0.0,-13.541469200732763,1,0
0,0,0.0,15.511772736347666,1,0
0,0,0.0,-30.2044407731521,1,0
0,0,0.0,-46.60518301801426,1,0
0,0,0.0,61.281754943938495,1,0
0,0,0.0,33.08564410011013,1,0
0,0,0.0,-17.503906821044893,1,0
0,0,0.0,-69.09466946502062,1,0
0,0,0.0,-6.186857100327188,1,0
0,0,0.0,9.58643230601615,1,0
0,0,0.0,32.72745835451428,1,0
0,0,0.0,-52.406634175728186,1,0
0,0,0.0,-17.235159154255598,1,0
0,0,0.0,13.027002561003883,1,0
0,0,0.0,-40.65901889216639,1,0
0,0,0.0,14.51002650459418,1,0
0,0,0.0,21.38527401069109,1,0
0,0,0.0,25.085601402802695,1,0
0,0,0.0,-45.552787633712114,1,0
0,0,0.0,25.102646719732547,1,0
0,0,0.0,65.72085932781306,1,0
0,0,0.0,76.93267464491373,1,0
0,0,0.0,-35.59248354300553,1,0
0,0,0.0,-6.557445190167982,1,0
0,0,0.0,25.834270962249093,1,0
0,0,0.0,7.491015549146368,1,0
0,0,0.0,16.070141098723752,1,0
0,0,0.0,29.738900475133278,1,0
0,0,0.0,-18.651754110970842,1,0
0,0,0.0,-14.75701655217199,1,0
0,0,0.0,-37.915431159344735,1,0
0,0,0.0,31.873027699600698,1,0
0,0,0.0,8.103775072278268,1,0
0,0,0.0,41.65133505007725,1,0
0,0,0.0,44.65669018443191,1,0
0,0,0.0,-24.207524334676236,1,0
0,0,0.0,2.4589684640320684,1,0
0,0,0.0,-39.84939378899412,1,0
0,0,0.0,-27.425407200076506,1,0
0,0,0.0,51.65615352629084,1,0
0,0,0.0,-13.442582894359703,1,0
0,0,0.0,-32.14624285183959,1,0
0,0,0.0,-32.6221837741125,1,0
0,0,0.0,3.964796244038098,1,0
0,0,0.0,74.99611944819299,1,0
0,0,0.0,54.64330647598376,1,0
0,0,0.0,34.26910366350239,1,0
0,0,0.0,-41.96390942330504,1,0
0,0,0.0,51.4385212398829,1,0
0,0,0.0,-40.8835460870655,1,0
0,0,0.0,-17.521125311167452,1,0
0,0,0.0,-9.002704311420985,1,0
0,0,0.0,-47.81282084969189,1,0
0,0,0.0,9.516741957008435,1,0
0,0,0.0,-17.92421506041069,1,0
0,0,0.0,-50.86131615522572,1,0
0,0,0.0,-22.34391477592567,1,0
0,0,0.0,-49.38787571638818,1,0
0,0,0.0,-14.761619008375646,1,0
0,0,0.0,-24.246360266576175,1,0
0,0,0.0,-56.678212988767655,1,0
0,0,0.0,8.491977139250594,1,0
0,0,0.0,64.19560492929122,1,0
0,0,0.0,21.46075723113472,1,0
0,0,0.0,-41.007976916012694,1,0
0,0,0.0,38.253803749900726,1,0
0,0,0.0,1.2548220359055904,1,0
0,0,0.0,33.28396803669875,1,0
0,0,0.0,-37.57068708509996,1,0
0,0,0.0,-2.8805251127939755,1,0
0,0,0.0,-36.80261624546779,1,0
0,0,0.0,-5.834207577834604,1,0
0,0,0.0,-13.600783638606572,1,0
0,0,0.0,10.163496001091517,1,0
0,0,0.0,-17.308575106119633,1,0
0,0,0.0,40.6500208558391,1,0
