,M,b,LD,CW,CT4,CT12,info,spread
0,0,0,1.8823529411764706,True,False,False,0.9,20
0,0,0,1.9411764705882353,False,False,False,0.9,20
0,0,0,2.3529411764705883,True,False,False,0.9,20
0,0,0,2.4705882352941178,True,False,False,0.9,20
0,0,0,1.6470588235294117,True,False,False,0.9,20
0,0,0,1.6470588235294117,True,True,False,0.9,20
0,0,0,2.176470588235294,True,False,False,0.9,20
0,0,0,1.8235294117647058,True,False,False,0.9,20
0,0,0,1.8823529411764706,True,True,False,0.9,20
0,0,0,1.8235294117647058,True,False,False,0.9,20
0,0,0,2.176470588235294,False,False,False,0.9,20
0,0,0,3.0588235294117645,True,False,False,0.9,20
0,0,0,1.3529411764705883,False,False,False,0.9,20
0,0,0,1.7058823529411764,True,False,False,0.9,20
0,0,0,1.8235294117647058,True,True,False,0.9,20
0,0,0,2.2941176470588234,True,False,False,0.9,20
0,0,0,2.1176470588235294,True,False,False,0.9,20
0,0,0,2.1176470588235294,True,False,False,0.9,20
0,0,0,2.3529411764705883,False,False,False,0.9,20
0,0,0,2.411764705882353,True,False,False,0.9,20
0,0,0,2.0,True,False,False,0.9,20
0,0,0,1.6470588235294117,True,True,False,0.9,20
